Слово,TF-IDF
млн,0.06458168904053035
налог,0.057104443398682175
год,0.054741142520293336
ставка,0.053660251702255655
срок,0.0507026749267611
проект,0.045776071852503555
поддержка,0.04506409497945104
мсп,0.04188225287294493
кредитование,0.04144846260207649
годовой,0.03943563059682751
затрата,0.039345939344864495
организация,0.0372245328158633
лимит,0.035927928525826644
производство,0.03523292775749863
инвестиционный,0.03357360298050923
продукция,0.033473769982455735
развитие,0.03307789284063611
период,0.03273784076335678
субъект,0.03264048951009098
программа,0.03252763389134444
уплата,0.031161087533947855
промышленный,0.029976189975462208
течение,0.02989314856020688
освобождение,0.02986173909909856
сервис,0.027521001616631617
возмещение,0.02617437335787947
льготный,0.025743477919982733
область,0.02512784379184311
промышленность,0.024824198608807496
аренда,0.024719431758625735
цель,0.024715673737639016
деятельность,0.024536007399447304
предприятие,0.024376481935305505
оборудование,0.02416996508652243
имущество,0.023606978811259473
фонд,0.023495562279070282
бизнес,0.023192423001183047
сумма,0.02301655269341866
услуга,0.02246607162735262
государственный,0.022265762024311145
объект,0.021718089184578657
центр,0.021658477668013803
млрд,0.0216188019116477
средство,0.02149005660791887
российский,0.02144849454911937
платформа,0.021113409589275565
компания,0.021091580317130352
собственность,0.02102278360432287
кредит,0.020915863215379592
реализация,0.020645156604962866
тыс,0.020634331895569468
действие,0.02049819594155027
часть,0.02018338722623534
министерство,0.019837568920587342
направление,0.018911005470247353
сфера,0.018859287065956305
предпринимательство,0.018752065564785092
товар,0.0185428165868859
финансирование,0.01824247682245159
технологический,0.017815396347850093
доход,0.017520659799678713
соглашение,0.01742098514247519
менее,0.01700853722372776
который,0.016791432311393538
участник,0.0167863843231493
также,0.01665299856393174
месяц,0.01646198745178552
договор,0.016435990171543305
труд,0.016267039085586844
инновационный,0.016254331430627662
разработка,0.016245927997718214
производительность,0.01617549321684107
прибыль,0.015973841963696906
создание,0.015843998842627112
маркировка,0.01583300955883439
контракт,0.01577183686380624
модернизация,0.015525934451385703
технология,0.015452401834023617
находиться,0.015271290108093853
осуществлять,0.015088391684999413
льгота,0.015001401806546941
корпорация,0.014970098272937356
федеральный,0.014930929847843728
направить,0.014893621233996663
цифровой,0.01468428670866846
реализовать,0.014630594786908327
экспортный,0.014473680405289659
отношение,0.014470273769847785
приоритетный,0.014389841421767045
предоставление,0.014263049672297058
поручительство,0.014203925541009117
заключить,0.01409406069673342
система,0.013878990836527784
грант,0.013757361260680643
действовать,0.013723059969615896
изделие,0.01350904709179305
расход,0.01332546017905257
связанный,0.013315110798136704
размер,0.013248346007826924
объём,0.013235490759873866
приобретение,0.013176475561457898
отрасль,0.013010757711369458
зависимость,0.012865517376641825
оборотный,0.012767808574759579
социальный,0.012560123151793825
производитель,0.012535723431807583
внедрение,0.012453115701976696
коэффициент,0.01243672475192409
национальный,0.012432936025931879
ключевой,0.012341033647564208
вид,0.012183531125311788
являться,0.012068964090161692
пополнение,0.011913699853224014
сельскохозяйственный,0.011908183041664954
финансовый,0.011879962702919333
позволять,0.011853908615926303
банк,0.011824536960611394
комплектующие,0.011771100060864318
продвижение,0.011766938423302805
обеспечение,0.011765844959533816
территория,0.011628618161797454
гражданин,0.011619237274371485
налоговый,0.01158104956028212
россия,0.011579798576723428
оэз,0.01154605057139484
иной,0.011435141126042747
кредитный,0.011365065195917108
проведение,0.011232294909055229
культура,0.011117970029596705
участок,0.01090752740637025
работа,0.01085282701074734
рынок,0.010826564549334937
понижать,0.01081466505225966
резидент,0.010706160902822445
компенсация,0.01068549066769121
заём,0.010683736088534842
земельный,0.01046768810270994
новый,0.01045196144158352
экономический,0.0103885911080118
сертификация,0.010294352334473584
размещение,0.010244953021927456
производственный,0.010217821344921559
челябинский,0.010136571999234492
повышение,0.010058457954603816
предприниматель,0.010012793559544167
категория,0.009960990891503868
связь,0.00984688715087336
строительство,0.009846186550728062
документ,0.009842341271684561
бюджет,0.009752337653640086
существующий,0.009749204519259997
апк,0.009703850723933578
помощь,0.009662380656236544
транспорт,0.009564743296075463
понести,0.009536001459713886
решение,0.009526539675942861
информационный,0.009514832182759796
высокотехнологичный,0.009329007499304176
роботизация,0.00930505164865876
имущественный,0.009304601564673986
малое,0.009265047013483074
интернет,0.009189286132057179
выпуск,0.009115748223446235
индивидуальный,0.009034616151457966
электронный,0.009005742370398345
право,0.008973293857925654
стоимость,0.008970855275834543
сопровождение,0.008957126132172817
база,0.00892047064530285
субсидирование,0.008907137401197042
предоставить,0.008876395534174903
инвестпроект,0.008876126868138715
счёт,0.00886281614948551
получение,0.008854518839489409
получить,0.00878729879368669
содействие,0.008753622559810883
трудоустройство,0.00872964649956634
индустрия,0.008696831065966745
реконструкция,0.008560031573863926
закупка,0.008554623461382535
создать,0.008522659540618092
инвалид,0.008516007645969865
перечень,0.008501924271341365
лизинг,0.008471560561760754
образовательный,0.008449181982209099
снижение,0.008430158226326468
число,0.008425245977892133
агентство,0.00842243953532915
включить,0.00837402374151706
осуществление,0.008363778448354406
страховой,0.008277126983486982
вэб,0.00825704626283174
мес,0.008243443913492072
техника,0.008121131837470251
пункт,0.00811432212660333
оказывать,0.0080608227361878
ниокра,0.007974042560148983
реестр,0.007973006747715892
условие,0.007952374953436096
правительство,0.007929964101685637
инфраструктура,0.00791226433840358
программный,0.007901725130242261
подбор,0.007891699656781478
региональный,0.007877544556887038
комплексный,0.007872094835656472
взнос,0.007754586077941684
уполномоченный,0.007751878847206555
туризм,0.007721138433355727
иметь,0.007689212966821136
оквэда,0.007667314702907701
предпринимательский,0.007614198626187629
предоставляться,0.007575538063955155
транспортный,0.007549738657754302
арендный,0.007539683634437447
плата,0.007539683634437447
комиссия,0.007535513396310698
сирования,0.007535076727535706
самозанятой,0.007495334427431286
племенной,0.00747324033861113
международный,0.007460292913249445
пользование,0.007442408669141274
сельский,0.007440290980790118
налогообложение,0.007435560295439711
инвестор,0.007430613949184389
хозяйство,0.007423889141422789
документация,0.007341634904561262
гарантия,0.007316484025215207
транспортировка,0.00730195297726527
туристический,0.007293174176443303
инициатива,0.00726798395534268
поставщик,0.007228994967430666
экспортёр,0.0071652858065729885
экономика,0.007121251858882328
земля,0.007083798027169382
инвестиция,0.007062594594739462
торговля,0.007058180451184031
экспорт,0.007014752971519132
единый,0.006891778085085497
мероприятие,0.006851004436583314
маркетинговый,0.006826454122287099
консультационный,0.0067860630648753665
креативный,0.006757662412899424
свыше,0.0067351830270244595
сво,0.006719521694266161
оказание,0.0066648554784316805
участие,0.006634975707221527
дом,0.006622398846374795
автомобильный,0.006606800855042643
цифровизация,0.006600269039537421
место,0.006578715752643519
индустриальный,0.006566477378892313
продукт,0.006549894162392541
предназначить,0.0065429468419521295
формирование,0.006527525710267646
технический,0.006525624231891823
поздний,0.006517504829713773
ндс,0.006459688535525558
спик,0.006447205646474251
мясной,0.006433357961658322
начинающий,0.006407592003039803
один,0.006392000375519658
карта,0.006371291993808351
беспилотный,0.006370330958542952
предоставлять,0.006364703825649796
субсидия,0.006350777944166805
заказ,0.00633419917490151
мера,0.006319851368900053
портал,0.006291357266201737
поиск,0.00627841406047457
мтк,0.006243784256386135
соответствие,0.006172671021511114
служба,0.006152113245465362
внешний,0.006139356343657392
парковый,0.006123571672775197
моногород,0.006100254305163248
площадь,0.006095237009589189
последующий,0.006087524275097048
информация,0.00608679075312595
культурный,0.006050966572754947
тариф,0.00604980616063615
стартап,0.006042504800838968
процесс,0.006036176597052335
знак,0.005982949251886873
расчёт,0.005931168159656299
регион,0.005927434290916168
зарегистрировать,0.0059231834308266776
усн,0.005919370294258759
животноводство,0.005890405006957209
комплекс,0.005875157623421888
весь,0.005872169793626659
население,0.005861754154387094
рабочий,0.005859197733287625
учреждение,0.0058456881970404976
выставочный,0.005825946836105787
превышать,0.0058044139514804895
краткосрочный,0.0057890703819522
занятость,0.005781427309415185
жилой,0.005762269000438643
оформление,0.005692565368337702
ведение,0.005691336747518343
площадка,0.005674663136955226
благотворительный,0.005664940662825097
иностранный,0.005662743306567863
товарный,0.005659150349488398
доля,0.005656906072858491
ппк,0.0056252943468491495
увеличение,0.005623322375848949
стимулирование,0.005591644677126917
проектный,0.005582329981044875
проверка,0.005562747230503396
данные,0.005561419334513203
расположить,0.005561059489300488
указанный,0.005560225481344544
включительно,0.005554122226446654
аккредитовать,0.005539613001977065
любой,0.005527299411751548
регистрация,0.005520640780392945
бонус,0.005517349787866342
общественный,0.0055166784847557986
разграничить,0.00550495987708897
коммерческий,0.005478071619480963
сбыт,0.005473988922232916
помещение,0.005419520174942237
поголовье,0.005409272937838983
маточный,0.005409272937838983
онлайн,0.00540699037510632
исключение,0.0054041995058114745
возможность,0.005388252987061804
качество,0.005384473484833785
обрабатывать,0.005348761180404293
назначение,0.005295465908871606
покупатель,0.005289464596770463
гчп,0.005278646930406298
концессионный,0.005278646930406298
импортозамещение,0.00527637910859818
тор,0.005245483522514673
фактически,0.005243987501619687
фактический,0.005229959278222403
природный,0.005216234092427293
поставка,0.005126771422754267
авиационный,0.005111786381030702
переработка,0.005109529890946341
управлять,0.005106158380747582
ано,0.0050838283015413955
перевооружение,0.005059370696026639
муниципальный,0.005039770444920856
наследие,0.005020269487656048
крс,0.005010881459446096
сеть,0.004998820765875184
бесплатный,0.004992725173360851
определённый,0.0049590801417054315
мочь,0.004918561579339167
предложение,0.004915306608628262
гостиница,0.004913476375090118
уровень,0.004899123614490859
собственный,0.004898126637273241
далее,0.004860783264827449
выкуп,0.004856495519626719
выбор,0.004813735667353994
бас,0.004786682063970093
скидка,0.004786682063970093
самозанятость,0.004780691515092112
важный,0.004717171185644487
использование,0.004704941391382953
свой,0.004699998537187636
процентный,0.004698224516472069
заёмщик,0.004698224516472069
номер,0.00468259658916001
павильон,0.004676362556290033
технопарк,0.0046276745258922855
